Unique Identifier,Player,Position,Age,WS,Salary,GS_Percent,G,All-Star
jokicni01,Nikola Jokić,C,27,14.9,47607350,1,69,1
sabondo01,Domantas Sabonis,C,26,12.6,30600000,1,79,1
butleji01,Jimmy Butler,PF,33,12.3,45183960,1,64,1
embiijo01,Joel Embiid,C,28,12.3,47607350,1,66,1
gilgesh01,Shai Gilgeous-Alexander,PG,24,11.4,33386850,1,68,1
tatumja01,Jayson Tatum,SF,24,10.5,32600060,1,74,1
doncilu01,Luka Dončić,PG,23,10.2,40064220,1,66,1
allenja01,Jarrett Allen,C,24,9.5,20000000,1,68,1
davisan02,Anthony Davis,C,29,9,40600080,0.964285714,56,1
lillada01,Damian Lillard,PG,32,9,45640084,1,58,1
mitchdo01,Donovan Mitchell,SG,26,8.9,33162030,1,68,1
antetgi01,Giannis Antetokounmpo,PF,28,8.6,45640084,1,63,1
derozde01,DeMar DeRozan,SF,33,8.5,28600000,1,74,1
mobleev01,Evan Mobley,PF,21,8.5,8882640,1,79,1
hardeja01,James Harden,PG,33,8.4,35640000,1,58,1
vucevni01,Nikola Vučević,C,32,8.3,18518519,1,82,1
markkla01,Lauri Markkanen,PF,25,8.2,17259999,1,66,1
randlju01,Julius Randle,PF,28,8.1,28226880,1,77,1
lopezbr01,Brook Lopez,C,34,8,25000000,1,78,1
siakapa01,Pascal Siakam,PF,28,7.8,37893408,1,71,1
goberru01,Rudy Gobert,C,30,7.8,41000000,1,70,1
curryst01,Stephen Curry,PG,34,7.8,51915615,1,56,1
garlada01,Darius Garland,PG,23,7.6,34005250,1,69,1
halibty01,Tyrese Haliburton,PG,22,7.6,5808435,1,56,1
adebaba01,Bam Adebayo,C,25,7.4,32600060,1,75,1
foxde01,De'Aaron Fox,PG,25,7.4,32600060,1,73,1
irvinky01,Kyrie Irving,PG,30,7.4,37037037,1,60,1
leonaka01,Kawhi Leonard,SF,31,7.1,45640084,0.961538462,52,1
lavinza01,Zach LaVine,SG,27,7.1,40064220,1,77,1
duranke01,Kevin Durant,PF,34,6.8,47649433,1,47,1
holidjr01,Jrue Holiday,PG,32,6.7,36861707,0.970149254,67,1
youngtr01,Trae Young,PG,24,6.7,40064220,1,73,1
jacksja02,Jaren Jackson Jr.,C,23,6.6,27102202,1,63,1
vanvlfr01,Fred VanVleet,PG,28,6.5,40806300,1,69,1
horfoal01,Al Horford,C,36,6.3,10000000,1,63,1
paulch01,Chris Paul,PG,37,6.2,30800000,1,59,1
bookede01,Devin Booker,SG,26,6,36016200,1,53,1
moranja01,Ja Morant,PG,23,6,34005250,0.967213115,61,1
jamesle01,LeBron James,PF,38,5.6,47607350,0.981818182,55,1
conlemi01,Mike Conley,PG,35,5.5,24360000,0.985074627,67,1
russeda01,D'Angelo Russell,PG,26,5.1,17307693,1,71,1
brownja02,Jaylen Brown,SF,26,5,31830357,1,67,1
murrade01,Dejounte Murray,SG,26,4.7,18214000,1,74,1
greendr01,Draymond Green,PF,32,4.7,22321429,1,73,1
georgpa01,Paul George,SF,32,4.6,45640084,1,56,1
edwaran01,Anthony Edwards,SG,21,3.8,13534817,1,79,1
batumni01,Nicolas Batum,PF,34,3.6,11710818,0.243589744,78,1
ingrabr01,Brandon Ingram,SF,25,3.5,33833400,1,45,1
bealbr01,Bradley Beal,SG,29,3.4,46741590,1,50,1
lowryky01,Kyle Lowry,PG,36,3.4,29682540,0.8,55,1
thompkl01,Klay Thompson,SF,32,3.1,43219440,1,69,1
drumman01,Andre Drummond,C,29,2.8,3360000,0,67,1
townska01,Karl-Anthony Towns,PF,27,2.7,36016200,1,29,1
loveke01,Kevin Love,PF,34,2.6,3835738,0.322580645,62,1
wiggian01,Andrew Wiggins,SF,27,2.3,24330357,1,37,1
simmobe01,Ben Simmons,PG,26,2.2,37893408,0.785714286,42,1
haywago01,Gordon Hayward,SF,32,2,31500000,1,50,1
middlkh01,Khris Middleton,SF,31,1.9,29320988,0.575757576,33,1
westbru01,Russell Westbrook,PG,34,1.9,3835738,0.328767123,73,1
ballla01,LaMelo Ball,PG,21,1.8,10900635,1,36,1
jordade01,DeAndre Jordan,C,34,1.4,2019706,0.205128205,39,1
oladivi01,Victor Oladipo,SG,30,0.6,9450000,0.047619048,42,1
walljo01,John Wall,PG,32,0.3,6802950,0.088235294,34,1
rosede01,Derrick Rose,PG,34,0,3196448,0,27,1
claxtni01,Nic Claxton,C,23,9.2,9625000,1,76,0
brunsja01,Jalen Brunson,PG,26,8.7,26346666,1,68,0
looneke01,Kevon Looney,C,26,8.7,7500000,0.853658537,82,0
plumlma01,Mason Plumlee,C,32,7.9,5000000,0.759493671,79,0
porzikr01,Kristaps Porziņģis,C,27,7.7,36016200,1,65,0
murphtr02,Trey Murphy III,SF,22,7.6,3359280,0.82278481,79,0
bridgmi01,Mikal Bridges,SF,26,7.5,21700000,1,83,0
whitede01,Derrick White,SG,28,7.4,18357143,0.853658537,82,0
capelca01,Clint Capela,C,28,7.2,20616000,0.969230769,65,0
okongon01,Onyeka Okongwu,C,22,7.1,8109063,0.225,80,0
kesslwa01,Walker Kessler,C,21,7.1,2831160,0.540540541,74,0
gordoaa01,Aaron Gordon,PF,27,6.8,22266182,1,68,0
quickim01,Immanuel Quickley,SG,23,6.7,4171548,0.259259259,81,0
zubaciv01,Ivica Zubac,C,25,6.7,10933333,1,76,0
barneha02,Harrison Barnes,PF,30,6.5,17000000,1,82,0
robinmi01,Mitchell Robinson,C,24,6.5,15681818,0.983050847,59,0
dinwisp01,Spencer Dinwiddie,SG,29,6.3,20357143,1,79,0
aytonde01,Deandre Ayton,C,24,6.2,32459438,1,67,0
gaffoda01,Daniel Gafford,C,24,6.1,12402000,0.602564103,78,0
poeltja01,Jakob Poeltl,C,27,6,19500000,0.986111111,72,0
hartjo01,Josh Hart,SF,27,6,12960000,0.684210526,76,0
harrito02,Tobias Harris,SF,30,5.9,39270150,1,74,0
banede01,Desmond Bane,SG,24,5.8,3845083,1,58,0
valanjo01,Jonas Valančiūnas,C,30,5.8,15435000,1,79,0
brogdma01,Malcolm Brogdon,PG,30,5.8,22500000,0,67,0
jonesty01,Tyus Jones,PG,26,5.7,14000000,0.275,80,0
willija06,Jalen Williams,SG,21,5.6,4558680,0.826666667,75,0
reaveau01,Austin Reaves,SG,24,5.4,12015150,0.34375,64,0
wagnefr01,Franz Wagner,SF,21,5.4,5508720,1,80,0
turnemy01,Myles Turner,C,26,5.4,20975000,1,62,0
maxeyty01,Tyrese Maxey,SG,22,5.4,4343920,0.683333333,60,0
portibo01,Bobby Portis,PF,27,5.3,11710818,0.314285714,70,0
sengual01,Alperen Şengün,C,20,5.2,3536280,0.96,75,0
vandeja01,Jarred Vanderbilt,PF,23,5.2,4698000,0.833333333,78,0
poweldw01,Dwight Powell,C,31,5.1,4000000,0.842105263,76,0
allengr01,Grayson Allen,SG,27,5.1,8925000,0.972222222,72,0
murraja01,Jamal Murray,PG,25,5.1,33833400,1,65,0
anderky01,Kyle Anderson,PF,29,5.1,9219512,0.666666667,69,0
bouchch01,Chris Boucher,PF,30,5,11750000,0,76,0
barnesc01,Scottie Barnes,SF,21,5,8008680,0.987012987,77,0
martike04,Kenyon Martin Jr.,SF,22,4.9,1930681,0.597560976,82,0
huertke01,Kevin Huerter,SG,24,4.9,15669643,1,75,0
nancela02,Larry Nance Jr.,C,30,4.9,10375000,0.015384615,65,0
grimequ01,Quentin Grimes,SG,22,4.8,2385720,0.929577465,71,0
anunoog01,OG Anunoby,SF,25,4.7,18642857,1,67,0
harteis01,Isaiah Hartenstein,C,24,4.6,9245121,0.097560976,82,0
aldamsa01,Santi Aldama,PF,22,4.6,2194200,0.25974026,77,0
cartewe01,Wendell Carter Jr.,C,23,4.6,13050000,0.947368421,57,0
clarkbr01,Brandon Clarke,PF,26,4.5,12500000,0.142857143,56,0
trentga02,Gary Trent Jr.,SG,24,4.5,18560000,0.666666667,66,0
durenja01,Jalen Duren,C,19,4.5,4330680,0.462686567,67,0
caldwke01,Kentavious Caldwell-Pope,SG,29,4.5,14704938,1,76,0
hieldbu01,Buddy Hield,SF,30,4.4,19279841,0.9125,80,0
leverca01,Caris LeVert,SG,28,4.4,15384616,0.405405405,74,0
eubandr01,Drew Eubanks,C,25,4.4,2346614,0.358974359,78,0
willigr01,Grant Williams,PF,24,4.4,12405000,0.291139241,79,0
mcdanja02,Jaden McDaniels,SF,22,4.4,3901399,1,79,0
brownbr01,Bruce Brown,SF,26,4.3,22000000,0.3875,80,0
mccolcj01,CJ McCollum,SG,31,4.3,35802469,1,75,0
murrake02,Keegan Murray,SF,22,4.3,8409000,0.975,80,0
olynyke01,Kelly Olynyk,C,31,4.3,12195122,1,68,0
portemi01,Michael Porter Jr.,SF,24,4.3,33386850,1,62,0
mannte01,Terance Mann,SG,26,4.3,10576923,0.444444444,81,0
meltode01,De'Anthony Melton,SG,24,4.2,8000000,0.753246753,77,0
divindo01,Donte DiVincenzo,SG,26,4.2,10900000,0.5,72,0
joneshe01,Herbert Jones,PF,24,4.2,12015150,1,66,0
okorois01,Isaac Okoro,SF,22,4.2,8920795,0.605263158,76,0
collijo01,John Collins,PF,25,4.2,25340000,1,71,0
morrimo01,Monte Morris,PG,27,4.2,9800926,0.983870968,62,0
richani01,Nick Richards,C,25,4.2,5000000,0.138461538,65,0
tillmxa01,Xavier Tillman Sr.,C,24,4.2,1930681,0.475409836,61,0
grantje01,Jerami Grant,PF,28,4.1,27586207,1,63,0
bryanth01,Thomas Bryant,C,25,4.1,2528233,0.440677966,59,0
giddejo01,Josh Giddey,PF,20,4,6587040,1,76,0
craigto01,Torrey Craig,PF,32,4,2528233,0.759493671,79,0
beysa01,Saddiq Bey,SF,23,3.9,4556983,0.480519481,77,0
kispeco01,Corey Kispert,SF,23,3.8,3722040,0.608108108,74,0
joeis01,Isaiah Joe,SG,23,3.8,1997238,0.136986301,73,0
williro04,Robert Williams,C,25,3.8,11571429,0.571428571,35,0
martica02,Caleb Martin,SF,27,3.7,6802950,0.690140845,71,0
anthoco01,Cole Anthony,PG,22,3.7,5539771,0.066666667,60,0
wrighde01,Delon Wright,PG,30,3.7,8195122,0.28,50,0
smartma01,Marcus Smart,PG,28,3.7,18833713,1,61,0
fultzma01,Markelle Fultz,PG,24,3.7,17000000,1,60,0
carusal01,Alex Caruso,PG,28,3.6,9460000,0.537313433,67,0
willizi01,Zion Williamson,PF,22,3.6,34005250,1,29,0
bogdabo02,Bojan Bogdanović,PF,33,3.5,20000000,1,59,0
johnsca02,Cameron Johnson,PF,26,3.5,25679348,0.976190476,42,0
carteje01,Jevon Carter,PG,27,3.5,6190476,0.481481481,81,0
konchjo01,John Konchar,SF,26,3.5,2400000,0.319444444,72,0
powelno01,Norman Powell,SG,29,3.5,18000000,0.133333333,60,0
willipa01,Patrick Williams,PF,21,3.5,9835881,0.792682927,82,0
herroty01,Tyler Herro,SG,23,3.5,27000000,1,67,0
kennalu01,Luke Kennard,SG,26,3.4,14763636,0.237288136,59,0
strusma01,Max Strus,SF,26,3.4,14487684,0.4125,80,0
wagnemo01,Moritz Wagner,C,25,3.4,8000000,0.315789474,57,0
hausesa01,Sam Hauser,SF,25,3.4,1927896,0.1,80,0
adamsst01,Steven Adams,C,29,3.4,12600000,1,42,0
jonestr01,Tre Jones,PG,23,3.4,9895833,0.955882353,68,0
osmande01,Cedi Osman,SF,27,3.3,6718842,0.025974026,77,0
willike04,Kenrich Williams,PF,28,3.3,6175000,0.188679245,53,0
kornelu01,Luke Kornet,C,27,3.3,2413304,0,69,0
poolejo01,Jordan Poole,PG,23,3.2,27455357,0.524390244,82,0
monkma01,Malik Monk,SG,24,3.2,9945830,0,77,0
whiteco01,Coby White,SG,22,3.1,11111111,0.027027027,74,0
mccontj01,T.J. McConnell,PG,30,3.1,8700000,0.08,75,0
reidna01,Naz Reid,C,23,3,12950400,0.161764706,68,0
beverpa01,Patrick Beverley,SG,34,3,2019706,1,67,0
dosunay01,Ayo Dosunmu,SG,23,2.9,6481482,0.6375,80,0
porteke02,Kevin Porter Jr.,PG,22,2.9,15860000,1,59,0
dortlu01,Luguentz Dort,SF,23,2.9,15277778,0.986486486,74,0
onealro01,Royce O'Neale,SF,29,2.9,9500000,0.697368421,76,0
miltosh01,Shake Milton,SG,26,2.9,5000000,0.144736842,76,0
browntr01,Troy Brown Jr.,SF,23,2.9,4000000,0.592105263,76,0
bogdabo01,Bogdan Bogdanović,SG,30,2.8,18700000,0.166666667,54,0
schrode01,Dennis Schröder,PG,29,2.8,12405000,0.757575758,66,0
okogijo01,Josh Okogie,SG,24,2.8,2815937,0.361111111,72,0
willima07,Mark Williams,C,21,2.8,3908160,0.395348837,43,0
reedpa01,Paul Reed,C,23,2.8,7723000,0.028985507,69,0
bullore01,Reggie Bullock,SF,31,2.8,11014080,0.705128205,78,0
jacksis01,Isaiah Jackson,C,21,2.7,2696280,0.19047619,63,0
mcdanja01,Jalen McDaniels,SF,25,2.7,4516000,0.3,80,0
landajo01,Jock Landale,C,27,2.7,8000000,0.057971014,69,0
nurkiju01,Jusuf Nurkić,C,28,2.7,16875000,1,52,0
bateske01,Keita Bates-Diop,PF,27,2.7,2346614,0.626865672,67,0
wiggiaa01,Aaron Wiggins,SG,24,2.6,1836096,0.2,70,0
leeda03,Damion Lee,SG,30,2.6,2528233,0.067567568,74,0
simsje01,Jericho Sims,C,24,2.6,1927896,0.307692308,52,0
harrijo01,Joe Harris,SF,31,2.6,19928571,0.445945946,74,0
greenjo02,Josh Green,SG,22,2.6,4765339,0.35,60,0
easonta01,Tari Eason,PF,21,2.6,3527160,0.06097561,82,0
lylestr01,Trey Lyles,PF,27,2.6,8000000,0,74,0
burksal01,Alec Burks,SG,31,2.5,10489600,0.156862745,51,0
simonan01,Anfernee Simons,SG,23,2.5,24107143,1,62,0
sextoco01,Collin Sexton,PG,24,2.5,17325000,0.3125,48,0
huntede01,De'Andre Hunter,SF,25,2.5,20089286,1,67,0
grahade01,Devonte' Graham,PG,27,2.5,12100000,0.109589041,73,0
niangge01,Georges Niang,PF,29,2.5,8800000,0.012820513,78,0
muscami01,Mike Muscala,C,31,2.5,3500000,0.142857143,63,0
marshna01,Naji Marshall,SF,25,2.5,1930681,0.272727273,77,0
tuckepj01,P.J. Tucker,PF,37,2.5,11014500,1,75,0
connapa01,Pat Connaughton,SF,30,2.5,9423869,0.540983607,61,0
jonesde02,Derrick Jones Jr.,PF,25,2.4,3360000,0,64,0
kuminjo01,Jonathan Kuminga,PF,20,2.4,6012840,0.23880597,67,0
banchpa01,Paolo Banchero,PF,20,2.4,11608080,1,72,0
bolbo01,Bol Bol,PF,23,2.3,2019706,0.471428571,70,0
avdijde01,Deni Avdija,SF,22,2.3,6263188,0.526315789,76,0
gordoer01,Eric Gordon,SG,34,2.3,3196448,0.84057971,69,0
harriga01,Gary Harris,SG,28,2.3,13000000,0.875,48,0
smithja04,Jalen Smith,C,22,2.3,5043773,0.455882353,68,0
inglejo01,Joe Ingles,SF,35,2.3,11000000,0,46,0
hardati02,Tim Hardaway Jr.,SF,30,2.3,17897728,0.633802817,71,0
griffaj01,AJ Griffin,SF,19,2.2,3712920,0.166666667,72,0
goodwjo01,Jordan Goodwin,PG,24,2.2,1927896,0.112903226,62,0
bambamo01,Mo Bamba,C,24,2.2,2019706,0.142857143,49,0
harremo01,Montrezl Harrell,C,29,2.2,2019706,0.122807018,57,0
achiupr01,Precious Achiuwa,C,23,2.2,4379527,0.218181818,55,0
barrerj01,RJ Barrett,SG,22,2.2,23883929,1,73,0
colliza01,Zach Collins,C,25,2.2,7700000,0.412698413,63,0
metuch01,Chimezie Metu,PF,25,2.1,2019706,0,66,0
finnedo01,Dorian Finney-Smith,PF,29,2.1,13932008,1,66,0
johnsja05,Jalen Johnson,SF,21,2.1,2925360,0.085714286,70,0
thybuma01,Matisse Thybulle,SF-SG,25,2.1,10500000,0.394366197,71,0
toppiob01,Obi Toppin,PF,24,2.1,6803012,0.074626866,67,0
watfotr01,Trendon Watford,PF,22,2.1,1836096,0.193548387,62,0
jeromty01,Ty Jerome,SG,25,2.1,2439025,0.044444444,45,0
watanyu01,Yuta Watanabe,SF,28,2.1,2346614,0.017241379,58,0
nesmiaa01,Aaron Nesmith,SF,23,2,5634257,0.821917808,73,0
stewais01,Isaiah Stewart,C,21,2,5266713,0.94,50,0
morrima03,Marcus Morris,PF,33,2,17116279,1,65,0
baglema01,Marvin Bagley III,C,23,2,12500000,0.595238095,42,0
braunch01,Christian Braun,SG,21,1.9,2949120,0.078947368,76,0
smithja05,Jabari Smith Jr.,PF,19,1.9,9326520,1,79,0
willija07,Jaylin Williams,C,20,1.9,2000000,0.734693878,49,0
robinje02,Jeremiah Robinson-Earl,PF,22,1.9,1900000,0.465116279,43,0
dunnkr01,Kris Dunn,PG,28,1.9,2586665,0.136363636,22,0
stevela01,Lamar Stevens,SF,25,1.9,400000,0.403225806,62,0
covinro01,Robert Covington,PF,32,1.9,11692308,0,48,0
mathube01,Bennedict Mathurin,SG,20,1.8,6916080,0.217948718,78,0
josepco01,Cory Joseph,PG,31,1.8,2019706,0.032258065,62,0
wadede01,Dean Wade,PF,26,1.8,5709877,0.295454545,44,0
greenja05,Jalen Green,SG,20,1.8,9891480,1,76,0
alvarjo01,Jose Alvarado,PG,24,1.8,1836096,0.163934426,61,0
richajo01,Josh Richardson,SG,29,1.8,2891467,0.153846154,65,0
walkelo01,Lonnie Walker IV,SG,24,1.8,2019706,0.571428571,56,0
hachiru01,Rui Hachimura,PF,24,1.8,15740741,0.142857143,63,0
curryse01,Seth Curry,SG,32,1.8,4000000,0.114754098,61,0
youngth01,Thaddeus Young,PF,34,1.8,8000000,0.166666667,54,0
garubus01,Usman Garuba,C,20,1.8,2588400,0.013333333,75,0
kolokch01,Christian Koloko,C,22,1.7,1719864,0.327586207,58,0
saricda01,Dario Šarić,PF-C,28,1.7,2019706,0.210526316,57,0
wainris01,Ish Wainright,SF,28,1.7,1927896,0.033333333,60,0
greenje02,Jeff Green,PF,36,1.7,9600000,0.071428571,56,0
clarkjo01,Jordan Clarkson,SG,30,1.7,23487629,1,61,0
roziete01,Terry Rozier,SG,28,1.7,23205221,1,63,0
cancavl01,Vlatko Čančar,PF,25,1.7,2234359,0.15,60,0
sharpda01,Day'Ron Sharpe,C,21,1.6,2210040,0.0625,48,0
brookdi01,Dillon Brooks,SF,27,1.6,22627671,1,73,0
hernawi01,Willy Hernangómez,C,28,1.6,2559942,0.052631579,38,0
nnajize01,Zeke Nnaji,PF,22,1.6,4306281,0.094339623,53,0
mitchda01,Davion Mitchell,PG,24,1.5,5063640,0.1125,80,0
hayesja02,Jaxson Hayes,C,22,1.5,2165000,0.042553191,47,0
nworajo01,Jordan Nwora,SF,24,1.5,3000000,0.225806452,62,0
hylanbo01,Bones Hyland,PG,22,1.4,2306400,0.017857143,56,0
vincega01,Gabe Vincent,PG,26,1.4,10500000,0.5,68,0
suggsja01,Jalen Suggs,SG,21,1.4,7252080,0.358490566,53,0
wisemja01,James Wiseman,C,21,1.4,12119440,0.488888889,45,0
beaslma01,Malik Beasley,SG,26,1.4,2019706,0.333333333,81,0
gillan01,Anthony Gill,PF,30,1.3,1997238,0.13559322,59,0
bassech01,Charles Bassey,C,22,1.3,2600000,0.057142857,35,0
houseda01,Danuel House Jr.,SF,29,1.3,4310250,0.089285714,56,0
daniedy01,Dyson Daniels,PG,19,1.3,5784120,0.186440678,59,0
bitadgo01,Goga Bitadze,C,23,1.3,2066585,0.026315789,38,0
mclaujo01,Jordan McLaughlin,PG,26,1.3,2320000,0,43,0
johnske04,Keldon Johnson,SF,23,1.3,20000000,1,63,0
klebima01,Maxi Kleber,PF,31,1.3,11000000,0.135135135,37,0
moodymo01,Moses Moody,SG,20,1.3,3918480,0.047619048,63,0
agbajoc01,Ochai Agbaji,SG,22,1.3,4114200,0.372881356,59,0
princta02,Taurean Prince,PF,28,1.3,4516000,0.074074074,54,0
nembhan01,Andrew Nembhard,SG,23,1.2,2131905,0.84,75,0
jonesda03,Damian Jones,C,27,1.2,2586665,0.024390244,41,0
vassede01,Devin Vassell,SG,22,1.2,5887899,0.842105263,38,0
crowdja01,Jae Crowder,PF,32,1.2,2019706,0.166666667,18,0
shamela01,Landry Shamet,SG,25,1.2,10250000,0.225,40,0
sharpsh01,Shaedon Sharpe,SG,19,1.2,6313800,0.1875,80,0
matthwe02,Wesley Matthews,SF,36,1.2,2019706,0,52,0
payneca01,Cameron Payne,PG,28,1.1,6500000,0.3125,48,0
